#           k/h    P           
   0.100000E-03   0.449893E+03
   0.102020E-03   0.458620E+03
   0.104081E-03   0.467516E+03
   0.106184E-03   0.476584E+03
   0.108329E-03   0.485828E+03
   0.110517E-03   0.495251E+03
   0.112750E-03   0.504856E+03
   0.115027E-03   0.514648E+03
   0.117351E-03   0.524629E+03
   0.119722E-03   0.534803E+03
   0.122140E-03   0.545175E+03
   0.124608E-03   0.555747E+03
   0.127125E-03   0.566524E+03
   0.129693E-03   0.577509E+03
   0.132313E-03   0.588707E+03
   0.134986E-03   0.600122E+03
   0.137713E-03   0.611757E+03
   0.140495E-03   0.623618E+03
   0.143333E-03   0.635708E+03
   0.146228E-03   0.648032E+03
   0.149182E-03   0.660595E+03
   0.152196E-03   0.673400E+03
   0.155271E-03   0.686453E+03
   0.158407E-03   0.699758E+03
   0.161607E-03   0.713321E+03
   0.164872E-03   0.727145E+03
   0.168203E-03   0.741237E+03
   0.171601E-03   0.755601E+03
   0.175067E-03   0.770243E+03
   0.178604E-03   0.785167E+03
   0.182212E-03   0.800379E+03
   0.185893E-03   0.815885E+03
   0.189648E-03   0.831690E+03
   0.193479E-03   0.847801E+03
   0.197388E-03   0.864222E+03
   0.201375E-03   0.880960E+03
   0.205443E-03   0.898020E+03
   0.209594E-03   0.915410E+03
   0.213828E-03   0.933135E+03
   0.218147E-03   0.951201E+03
   0.222554E-03   0.969615E+03
   0.227050E-03   0.988384E+03
   0.231637E-03   0.100751E+04
   0.236316E-03   0.102701E+04
   0.241090E-03   0.104689E+04
   0.245960E-03   0.106714E+04
   0.250929E-03   0.108779E+04
   0.255998E-03   0.110883E+04
   0.261170E-03   0.113027E+04
   0.266446E-03   0.115213E+04
   0.271828E-03   0.117441E+04
   0.277319E-03   0.119711E+04
   0.282922E-03   0.122025E+04
   0.288637E-03   0.124384E+04
   0.294468E-03   0.126787E+04
   0.300417E-03   0.129237E+04
   0.306485E-03   0.131733E+04
   0.312677E-03   0.134277E+04
   0.318993E-03   0.136870E+04
   0.325437E-03   0.139513E+04
   0.332012E-03   0.142206E+04
   0.338719E-03   0.144950E+04
   0.345561E-03   0.147747E+04
   0.352542E-03   0.150597E+04
   0.359664E-03   0.153501E+04
   0.366930E-03   0.156460E+04
   0.374342E-03   0.159476E+04
   0.381904E-03   0.162549E+04
   0.389619E-03   0.165681E+04
   0.397490E-03   0.168872E+04
   0.405520E-03   0.172124E+04
   0.413712E-03   0.175437E+04
   0.422070E-03   0.178813E+04
