#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.737790E-04   0.199477E+08   0.199477E+08   0.258871E+08   0.258860E+08   0.000000E+00   0.199477E+08   0.199477E+08   0.199554E+08  -0.470067E+00   0.103672E+08   0.103672E+08   0.422844E-01
   0.102967E-03   0.199464E+08   0.199464E+08   0.252287E+08   0.252267E+08   0.000000E+00   0.199464E+08   0.199464E+08   0.199539E+08  -0.470028E+00   0.103665E+08   0.103665E+08   0.589405E-01
   0.143702E-03   0.199438E+08   0.199438E+08   0.239900E+08   0.239864E+08   0.000000E+00   0.199438E+08   0.199438E+08   0.199510E+08  -0.469952E+00   0.103652E+08   0.103652E+08   0.820645E-01
   0.200552E-03   0.199389E+08   0.199389E+08   0.217358E+08   0.217297E+08   0.000000E+00   0.199389E+08   0.199389E+08   0.199454E+08  -0.469807E+00   0.103626E+08   0.103626E+08   0.114017E+00
   0.279893E-03   0.199296E+08   0.199296E+08   0.178945E+08   0.178854E+08   0.000000E+00   0.199296E+08   0.199296E+08   0.199349E+08  -0.469534E+00   0.103577E+08   0.103577E+08   0.157790E+00
   0.390622E-03   0.199119E+08   0.199119E+08   0.121587E+08   0.121489E+08   0.000000E+00   0.199119E+08   0.199119E+08   0.199155E+08  -0.469035E+00   0.103483E+08   0.103483E+08   0.216894E+00
   0.545157E-03   0.198794E+08   0.198793E+08   0.565023E+07   0.564682E+07   0.000000E+00   0.198794E+08   0.198794E+08   0.198810E+08  -0.468160E+00   0.103311E+08   0.103311E+08   0.295043E+00
   0.760828E-03   0.198217E+08   0.198217E+08   0.164039E+07   0.164486E+07   0.000000E+00   0.198217E+08   0.198217E+08   0.198222E+08  -0.466707E+00   0.103007E+08   0.103007E+08   0.396183E+00
   0.106182E-02   0.197244E+08   0.197243E+08   0.920496E+06   0.916419E+06   0.000000E+00   0.197244E+08   0.197244E+08   0.197247E+08  -0.464371E+00   0.102496E+08   0.102496E+08   0.526039E+00
   0.148189E-02   0.195665E+08   0.195663E+08   0.219018E+06   0.210379E+06   0.000000E+00   0.195665E+08   0.195665E+08   0.195666E+08  -0.460634E+00   0.101672E+08   0.101672E+08   0.693186E+00
   0.206814E-02   0.193188E+08   0.193183E+08  -0.118502E+06  -0.118502E+06   0.000000E+00   0.193188E+08   0.193188E+08   0.193187E+08  -0.454791E+00   0.100384E+08   0.100384E+08   0.907795E+00
   0.288633E-02   0.189427E+08   0.189418E+08  -0.596465E+05  -0.596467E+05   0.000000E+00   0.189426E+08   0.189426E+08   0.189426E+08  -0.445932E+00   0.984277E+07   0.984276E+07   0.118245E+01
   0.402819E-02   0.183914E+08   0.183895E+08  -0.297294E+05  -0.297295E+05   0.000000E+00   0.183911E+08   0.183911E+08   0.183911E+08  -0.432947E+00   0.955614E+07   0.955612E+07   0.153189E+01
   0.416473E-02   0.183246E+08   0.183227E+08  -0.277109E+05  -0.277109E+05   0.000000E+00   0.183243E+08   0.183243E+08   0.183243E+08  -0.431375E+00   0.952143E+07   0.952141E+07   0.157155E+01
   0.430589E-02   0.182555E+08   0.182534E+08  -0.258258E+05  -0.258259E+05   0.000000E+00   0.182552E+08   0.182552E+08   0.182552E+08  -0.429748E+00   0.948552E+07   0.948549E+07   0.161214E+01
   0.445184E-02   0.181840E+08   0.181818E+08  -0.240654E+05  -0.240655E+05   0.000000E+00   0.181837E+08   0.181837E+08   0.181837E+08  -0.428064E+00   0.944836E+07   0.944834E+07   0.165367E+01
   0.460274E-02   0.181101E+08   0.181077E+08  -0.224217E+05  -0.224218E+05   0.000000E+00   0.181097E+08   0.181097E+08   0.181097E+08  -0.426324E+00   0.940993E+07   0.940991E+07   0.169614E+01
   0.475875E-02   0.180337E+08   0.180312E+08  -0.208871E+05  -0.208871E+05   0.000000E+00   0.180333E+08   0.180333E+08   0.180333E+08  -0.424524E+00   0.937021E+07   0.937018E+07   0.173958E+01
   0.492005E-02   0.179547E+08   0.179520E+08  -0.194543E+05  -0.194544E+05   0.000000E+00   0.179543E+08   0.179543E+08   0.179543E+08  -0.422664E+00   0.932916E+07   0.932913E+07   0.178399E+01
   0.508681E-02   0.178732E+08   0.178703E+08  -0.181169E+05  -0.181169E+05   0.000000E+00   0.178727E+08   0.178727E+08   0.178727E+08  -0.420743E+00   0.928676E+07   0.928673E+07   0.182940E+01
   0.525923E-02   0.177889E+08   0.177859E+08  -0.168685E+05  -0.168685E+05   0.000000E+00   0.177884E+08   0.177884E+08   0.177884E+08  -0.418760E+00   0.924298E+07   0.924295E+07   0.187579E+01
   0.543749E-02   0.177020E+08   0.176987E+08  -0.157034E+05  -0.157034E+05   0.000000E+00   0.177015E+08   0.177015E+08   0.177015E+08  -0.416712E+00   0.919778E+07   0.919775E+07   0.192320E+01
   0.562180E-02   0.176123E+08   0.176088E+08  -0.146161E+05  -0.146161E+05   0.000000E+00   0.176117E+08   0.176117E+08   0.176117E+08  -0.414600E+00   0.915115E+07   0.915112E+07   0.197161E+01
   0.581235E-02   0.175197E+08   0.175161E+08  -0.136016E+05  -0.136016E+05   0.000000E+00   0.175192E+08   0.175192E+08   0.175192E+08  -0.412420E+00   0.910305E+07   0.910301E+07   0.202105E+01
   0.600936E-02   0.174243E+08   0.174204E+08  -0.126550E+05  -0.126550E+05   0.000000E+00   0.174237E+08   0.174237E+08   0.174237E+08  -0.410173E+00   0.905345E+07   0.905341E+07   0.207151E+01
