#           k/h    P           
   0.100000E-03   0.425720E+03
   0.102020E-03   0.434025E+03
   0.104081E-03   0.442492E+03
   0.106184E-03   0.451124E+03
   0.108329E-03   0.459924E+03
   0.110517E-03   0.468895E+03
   0.112750E-03   0.478042E+03
   0.115027E-03   0.487366E+03
   0.117351E-03   0.496872E+03
   0.119722E-03   0.506564E+03
   0.122140E-03   0.516444E+03
   0.124608E-03   0.526516E+03
   0.127125E-03   0.536784E+03
   0.129693E-03   0.547253E+03
   0.132313E-03   0.557925E+03
   0.134986E-03   0.568805E+03
   0.137713E-03   0.579897E+03
   0.140495E-03   0.591204E+03
   0.143333E-03   0.602732E+03
   0.146228E-03   0.614484E+03
   0.149182E-03   0.626464E+03
   0.152196E-03   0.638678E+03
   0.155271E-03   0.651130E+03
   0.158407E-03   0.663823E+03
   0.161607E-03   0.676763E+03
   0.164872E-03   0.689955E+03
   0.168203E-03   0.703403E+03
   0.171601E-03   0.717113E+03
   0.175067E-03   0.731089E+03
   0.178604E-03   0.745337E+03
   0.182212E-03   0.759861E+03
   0.185893E-03   0.774667E+03
   0.189648E-03   0.789761E+03
   0.193479E-03   0.805148E+03
   0.197388E-03   0.820834E+03
   0.201375E-03   0.836824E+03
   0.205443E-03   0.853125E+03
   0.209594E-03   0.869741E+03
   0.213828E-03   0.886680E+03
   0.218147E-03   0.903947E+03
   0.222554E-03   0.921549E+03
   0.227050E-03   0.939492E+03
   0.231637E-03   0.957782E+03
   0.236316E-03   0.976427E+03
   0.241090E-03   0.995432E+03
   0.245960E-03   0.101481E+04
   0.250929E-03   0.103455E+04
   0.255998E-03   0.105468E+04
   0.261170E-03   0.107520E+04
   0.266446E-03   0.109612E+04
   0.271828E-03   0.111744E+04
   0.277319E-03   0.113917E+04
   0.282922E-03   0.116132E+04
   0.288637E-03   0.118390E+04
   0.294468E-03   0.120691E+04
   0.300417E-03   0.123037E+04
   0.306485E-03   0.125428E+04
   0.312677E-03   0.127865E+04
   0.318993E-03   0.130349E+04
   0.325437E-03   0.132881E+04
   0.332012E-03   0.135461E+04
   0.338719E-03   0.138091E+04
   0.345561E-03   0.140772E+04
   0.352542E-03   0.143504E+04
   0.359664E-03   0.146288E+04
   0.366930E-03   0.149126E+04
   0.374342E-03   0.152018E+04
   0.381904E-03   0.154965E+04
   0.389619E-03   0.157969E+04
   0.397490E-03   0.161030E+04
   0.405520E-03   0.164150E+04
   0.413712E-03   0.167330E+04
   0.422070E-03   0.170570E+04
   0.430596E-03   0.173871E+04
   0.439295E-03   0.177236E+04
   0.448169E-03   0.180664E+04
   0.457222E-03   0.184158E+04
   0.466459E-03   0.187718E+04
   0.475882E-03   0.191346E+04
   0.485496E-03   0.195042E+04
   0.495303E-03   0.198809E+04
   0.505309E-03   0.202646E+04
   0.515517E-03   0.206556E+04
   0.525931E-03   0.210540E+04
   0.536556E-03   0.214599E+04
   0.547395E-03   0.218734E+04
   0.558453E-03   0.222947E+04
   0.569734E-03   0.227240E+04
   0.581244E-03   0.231612E+04
   0.592986E-03   0.236067E+04
   0.604965E-03   0.240605E+04
   0.617186E-03   0.245228E+04
   0.629654E-03   0.249936E+04
   0.642374E-03   0.254733E+04
   0.655350E-03   0.259619E+04
   0.668589E-03   0.264595E+04
   0.682096E-03   0.269664E+04
   0.695875E-03   0.274826E+04
   0.709933E-03   0.280084E+04
   0.724274E-03   0.285438E+04
   0.738906E-03   0.290892E+04
   0.753832E-03   0.296445E+04
   0.769061E-03   0.302100E+04
   0.784597E-03   0.307859E+04
