#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.738989E-04   0.198171E+08   0.198171E+08   0.257225E+08   0.257214E+08   0.198174E+08   0.198171E+08   0.198171E+08   0.198236E+08  -0.471446E+00   0.103742E+08   0.103742E+08   0.414116E-01
   0.103134E-03   0.198159E+08   0.198159E+08   0.250729E+08   0.250709E+08   0.198144E+08   0.198159E+08   0.198159E+08   0.198223E+08  -0.471410E+00   0.103736E+08   0.103736E+08   0.577251E-01
   0.143935E-03   0.198136E+08   0.198136E+08   0.238505E+08   0.238469E+08   0.198085E+08   0.198135E+08   0.198136E+08   0.198196E+08  -0.471340E+00   0.103723E+08   0.103723E+08   0.803753E-01
   0.200878E-03   0.198090E+08   0.198090E+08   0.216249E+08   0.216188E+08   0.197970E+08   0.198090E+08   0.198090E+08   0.198145E+08  -0.471207E+00   0.103699E+08   0.103699E+08   0.111678E+00
   0.280348E-03   0.198004E+08   0.198004E+08   0.178289E+08   0.178199E+08   0.197749E+08   0.198002E+08   0.198004E+08   0.198048E+08  -0.470955E+00   0.103653E+08   0.103653E+08   0.154573E+00
   0.391257E-03   0.197840E+08   0.197839E+08   0.121506E+08   0.121408E+08   0.197325E+08   0.197837E+08   0.197840E+08   0.197868E+08  -0.470491E+00   0.103565E+08   0.103565E+08   0.212522E+00
   0.546043E-03   0.197536E+08   0.197536E+08   0.568214E+07   0.567864E+07   0.196523E+08   0.197531E+08   0.197536E+08   0.197546E+08  -0.469671E+00   0.103403E+08   0.103403E+08   0.289203E+00
   0.762065E-03   0.196994E+08   0.196993E+08   0.165993E+07   0.166438E+07   0.195039E+08   0.196985E+08   0.196994E+08   0.196989E+08  -0.468290E+00   0.103113E+08   0.103113E+08   0.388544E+00
   0.106355E-02   0.196066E+08   0.196065E+08   0.928872E+06   0.924910E+06   0.192375E+08   0.196049E+08   0.196066E+08   0.196052E+08  -0.466027E+00   0.102620E+08   0.102620E+08   0.516210E+00
   0.148430E-02   0.194536E+08   0.194534E+08   0.224925E+06   0.216635E+06   0.187815E+08   0.194506E+08   0.194536E+08   0.194506E+08  -0.462341E+00   0.101810E+08   0.101810E+08   0.680685E+00
   0.207151E-02   0.192094E+08   0.192089E+08  -0.113126E+06  -0.113127E+06   0.180625E+08   0.192041E+08   0.192093E+08   0.192041E+08  -0.456473E+00   0.100522E+08   0.100522E+08   0.892046E+00
   0.289102E-02   0.188332E+08   0.188323E+08  -0.569449E+05  -0.569451E+05   0.170357E+08   0.188249E+08   0.188331E+08   0.188249E+08  -0.447457E+00   0.985396E+07   0.985395E+07   0.116276E+01
   0.403474E-02   0.182777E+08   0.182759E+08  -0.283800E+05  -0.283801E+05   0.156863E+08   0.182657E+08   0.182774E+08   0.182657E+08  -0.434162E+00   0.956169E+07   0.956167E+07   0.150748E+01
   0.417150E-02   0.182104E+08   0.182085E+08  -0.264527E+05  -0.264528E+05   0.155324E+08   0.181979E+08   0.182101E+08   0.181979E+08  -0.432552E+00   0.952629E+07   0.952627E+07   0.154663E+01
   0.431290E-02   0.181407E+08   0.181387E+08  -0.246529E+05  -0.246529E+05   0.153750E+08   0.181279E+08   0.181404E+08   0.181279E+08  -0.430886E+00   0.948967E+07   0.948965E+07   0.158670E+01
   0.445908E-02   0.180686E+08   0.180665E+08  -0.229721E+05  -0.229722E+05   0.152136E+08   0.180554E+08   0.180683E+08   0.180554E+08  -0.429163E+00   0.945179E+07   0.945177E+07   0.162769E+01
   0.461022E-02   0.179941E+08   0.179918E+08  -0.214028E+05  -0.214029E+05   0.150491E+08   0.179804E+08   0.179938E+08   0.179804E+08  -0.427382E+00   0.941263E+07   0.941261E+07   0.166962E+01
   0.476649E-02   0.179171E+08   0.179147E+08  -0.199376E+05  -0.199376E+05   0.148810E+08   0.179030E+08   0.179168E+08   0.179030E+08  -0.425541E+00   0.937216E+07   0.937214E+07   0.171250E+01
   0.492805E-02   0.178376E+08   0.178350E+08  -0.185697E+05  -0.185698E+05   0.147094E+08   0.178230E+08   0.178372E+08   0.178230E+08  -0.423640E+00   0.933037E+07   0.933034E+07   0.175636E+01
   0.509508E-02   0.177555E+08   0.177527E+08  -0.172929E+05  -0.172929E+05   0.145344E+08   0.177404E+08   0.177550E+08   0.177404E+08  -0.421677E+00   0.928721E+07   0.928718E+07   0.180119E+01
   0.526778E-02   0.176707E+08   0.176677E+08  -0.161011E+05  -0.161011E+05   0.143558E+08   0.176552E+08   0.176702E+08   0.176552E+08  -0.419651E+00   0.924267E+07   0.924264E+07   0.184701E+01
   0.544633E-02   0.175832E+08   0.175800E+08  -0.149888E+05  -0.149889E+05   0.141737E+08   0.175673E+08   0.175827E+08   0.175673E+08  -0.417561E+00   0.919671E+07   0.919668E+07   0.189383E+01
   0.563094E-02   0.174930E+08   0.174896E+08  -0.139509E+05  -0.139510E+05   0.139880E+08   0.174766E+08   0.174925E+08   0.174766E+08  -0.415405E+00   0.914932E+07   0.914929E+07   0.194166E+01
   0.582180E-02   0.174000E+08   0.173964E+08  -0.129825E+05  -0.129825E+05   0.137987E+08   0.173831E+08   0.173994E+08   0.173831E+08  -0.413183E+00   0.910046E+07   0.910043E+07   0.199049E+01
   0.601913E-02   0.173046E+08   0.173007E+08  -0.120793E+05  -0.120793E+05   0.135841E+08   0.172871E+08   0.173039E+08   0.172871E+08  -0.410901E+00   0.905030E+07   0.905026E+07   0.204035E+01
   0.622315E-02   0.172058E+08   0.172017E+08  -0.112364E+05  -0.112364E+05   0.133841E+08   0.171878E+08   0.172051E+08   0.171878E+08  -0.408541E+00   0.899842E+07   0.899838E+07   0.209122E+01
   0.643408E-02   0.171040E+08   0.170997E+08  -0.104502E+05  -0.104502E+05   0.131801E+08   0.170856E+08   0.171033E+08   0.170856E+08  -0.406111E+00   0.894498E+07   0.894494E+07   0.214311E+01
   0.665217E-02   0.169993E+08   0.169946E+08  -0.971695E+04  -0.971698E+04   0.129721E+08   0.169803E+08   0.169985E+08   0.169803E+08  -0.403609E+00   0.888996E+07   0.888992E+07   0.219601E+01
   0.687764E-02   0.168915E+08   0.168865E+08  -0.903319E+04  -0.903321E+04   0.127603E+08   0.168720E+08   0.168907E+08   0.168720E+08  -0.401033E+00   0.883334E+07   0.883330E+07   0.224992E+01
   0.711076E-02   0.167805E+08   0.167753E+08  -0.839566E+04  -0.839568E+04   0.125449E+08   0.167605E+08   0.167797E+08   0.167605E+08  -0.398384E+00   0.877509E+07   0.877504E+07   0.230482E+01
   0.735178E-02   0.166664E+08   0.166608E+08  -0.780131E+04  -0.780133E+04   0.123263E+08   0.166459E+08   0.166655E+08   0.166459E+08  -0.395659E+00   0.871517E+07   0.871512E+07   0.236070E+01
   0.760097E-02   0.165491E+08   0.165432E+08  -0.724730E+04  -0.724732E+04   0.121049E+08   0.165280E+08   0.165481E+08   0.165280E+08  -0.392858E+00   0.865357E+07   0.865352E+07   0.241755E+01
   0.785861E-02   0.164282E+08   0.164219E+08  -0.673085E+04  -0.673087E+04   0.118809E+08   0.164066E+08   0.164272E+08   0.164066E+08  -0.389973E+00   0.859013E+07   0.859007E+07   0.247533E+01
   0.812498E-02   0.163043E+08   0.162976E+08  -0.624970E+04  -0.624971E+04   0.116551E+08   0.162822E+08   0.163032E+08   0.162822E+08  -0.387014E+00   0.852506E+07   0.852500E+07   0.253403E+01
   0.840037E-02   0.161770E+08   0.161699E+08  -0.580140E+04  -0.580142E+04   0.114274E+08   0.161543E+08   0.161759E+08   0.161543E+08  -0.383976E+00   0.845824E+07   0.845818E+07   0.259360E+01
   0.868510E-02   0.160463E+08   0.160387E+08  -0.538379E+04  -0.538381E+04   0.111981E+08   0.160231E+08   0.160451E+08   0.160231E+08  -0.380856E+00   0.838963E+07   0.838956E+07   0.265400E+01
   0.897949E-02   0.159121E+08   0.159040E+08  -0.499484E+04  -0.499485E+04   0.109669E+08   0.158884E+08   0.159108E+08   0.158884E+08  -0.377654E+00   0.831921E+07   0.831914E+07   0.271518E+01
   0.928385E-02   0.157744E+08   0.157658E+08  -0.463263E+04  -0.463265E+04   0.107338E+08   0.157502E+08   0.157730E+08   0.157502E+08  -0.374369E+00   0.824695E+07   0.824687E+07   0.277708E+01
   0.959852E-02   0.156332E+08   0.156241E+08  -0.429542E+04  -0.429544E+04   0.104986E+08   0.156085E+08   0.156317E+08   0.156085E+08  -0.371001E+00   0.817288E+07   0.817280E+07   0.283965E+01
   0.992387E-02   0.154883E+08   0.154787E+08  -0.398150E+04  -0.398151E+04   0.102615E+08   0.154631E+08   0.154868E+08   0.154631E+08  -0.367546E+00   0.809688E+07   0.809679E+07   0.290279E+01
   0.102602E-01   0.153398E+08   0.153296E+08  -0.368932E+04  -0.368933E+04   0.100224E+08   0.153141E+08   0.153382E+08   0.153141E+08  -0.364004E+00   0.801897E+07   0.801888E+07   0.296643E+01
   0.106080E-01   0.151876E+08   0.151768E+08  -0.341743E+04  -0.341744E+04   0.978153E+07   0.151614E+08   0.151859E+08   0.151614E+08  -0.360374E+00   0.793912E+07   0.793903E+07   0.303047E+01
   0.109676E-01   0.150316E+08   0.150202E+08  -0.316448E+04  -0.316449E+04   0.953929E+07   0.150049E+08   0.150298E+08   0.150049E+08  -0.356655E+00   0.785732E+07   0.785721E+07   0.309479E+01
   0.113393E-01   0.148718E+08   0.148597E+08  -0.292918E+04  -0.292919E+04   0.929594E+07   0.148447E+08   0.148699E+08   0.148447E+08  -0.352846E+00   0.777351E+07   0.777340E+07   0.315927E+01
   0.117237E-01   0.147082E+08   0.146954E+08  -0.271037E+04  -0.271038E+04   0.905183E+07   0.146806E+08   0.147062E+08   0.146806E+08  -0.348945E+00   0.768770E+07   0.768759E+07   0.322378E+01
   0.121210E-01   0.145407E+08   0.145272E+08  -0.250693E+04  -0.250694E+04   0.880675E+07   0.145126E+08   0.145386E+08   0.145126E+08  -0.344953E+00   0.759987E+07   0.759975E+07   0.328815E+01
   0.125319E-01   0.143693E+08   0.143550E+08  -0.231782E+04  -0.231783E+04   0.856205E+07   0.143407E+08   0.143670E+08   0.143407E+08  -0.340868E+00   0.750999E+07   0.750986E+07   0.335222E+01
   0.129567E-01   0.141940E+08   0.141788E+08  -0.214208E+04  -0.214209E+04   0.831751E+07   0.141649E+08   0.141916E+08   0.141649E+08  -0.336689E+00   0.741804E+07   0.741791E+07   0.341579E+01
   0.133958E-01   0.140146E+08   0.139986E+08  -0.197880E+04  -0.197880E+04   0.807327E+07   0.139852E+08   0.140121E+08   0.139852E+08  -0.332416E+00   0.732401E+07   0.732387E+07   0.347866E+01
   0.138499E-01   0.138312E+08   0.138143E+08  -0.182714E+04  -0.182714E+04   0.782942E+07   0.138014E+08   0.138285E+08   0.138014E+08  -0.328047E+00   0.722789E+07   0.722774E+07   0.354060E+01
   0.143193E-01   0.136438E+08   0.136260E+08  -0.168631E+04  -0.168631E+04   0.758591E+07   0.136136E+08   0.136410E+08   0.136136E+08  -0.323583E+00   0.712965E+07   0.712950E+07   0.360136E+01
   0.148047E-01   0.134524E+08   0.134335E+08  -0.155557E+04  -0.155557E+04   0.734283E+07   0.134217E+08   0.134494E+08   0.134217E+08  -0.319023E+00   0.702930E+07   0.702913E+07   0.366066E+01
   0.153065E-01   0.132568E+08   0.132370E+08  -0.143424E+04  -0.143425E+04   0.710047E+07   0.132258E+08   0.132537E+08   0.132258E+08  -0.314366E+00   0.692682E+07   0.692665E+07   0.371821E+01
   0.158253E-01   0.130572E+08   0.130363E+08  -0.132168E+04  -0.132168E+04   0.685934E+07   0.130258E+08   0.130539E+08   0.130258E+08  -0.309614E+00   0.682222E+07   0.682204E+07   0.377369E+01
   0.163617E-01   0.128536E+08   0.128316E+08  -0.121728E+04  -0.121728E+04   0.661990E+07   0.128219E+08   0.128501E+08   0.128219E+08  -0.304765E+00   0.671551E+07   0.671532E+07   0.382675E+01
   0.169163E-01   0.126459E+08   0.126228E+08  -0.112049E+04  -0.112049E+04   0.638248E+07   0.126139E+08   0.126422E+08   0.126139E+08  -0.299821E+00   0.660670E+07   0.660650E+07   0.387701E+01
   0.174897E-01   0.124342E+08   0.124099E+08  -0.103079E+04  -0.103079E+04   0.614717E+07   0.124019E+08   0.124304E+08   0.124019E+08  -0.294783E+00   0.649580E+07   0.649559E+07   0.392408E+01
   0.180825E-01   0.122186E+08   0.121931E+08  -0.947685E+03  -0.947688E+03   0.591411E+07   0.121860E+08   0.122146E+08   0.121860E+08  -0.289652E+00   0.638284E+07   0.638263E+07   0.396753E+01
   0.186954E-01   0.119991E+08   0.119724E+08  -0.870732E+03  -0.870734E+03   0.568348E+07   0.119663E+08   0.119949E+08   0.119663E+08  -0.284429E+00   0.626787E+07   0.626764E+07   0.400692E+01
   0.193291E-01   0.117758E+08   0.117479E+08  -0.799502E+03  -0.799504E+03   0.545555E+07   0.117428E+08   0.117714E+08   0.117428E+08  -0.279116E+00   0.615092E+07   0.615068E+07   0.404176E+01
   0.199842E-01   0.115489E+08   0.115197E+08  -0.733601E+03  -0.733603E+03   0.523066E+07   0.115156E+08   0.115442E+08   0.115156E+08  -0.273717E+00   0.603205E+07   0.603181E+07   0.407155E+01
