#           k/h    P           
   0.100000E-03   0.460363E+03
   0.102020E-03   0.469293E+03
   0.104081E-03   0.478396E+03
   0.106184E-03   0.487675E+03
   0.108329E-03   0.497134E+03
   0.110517E-03   0.506776E+03
   0.112750E-03   0.516605E+03
   0.115027E-03   0.526625E+03
   0.117351E-03   0.536838E+03
   0.119722E-03   0.547249E+03
   0.122140E-03   0.557862E+03
   0.124608E-03   0.568680E+03
   0.127125E-03   0.579708E+03
   0.129693E-03   0.590949E+03
   0.132313E-03   0.602407E+03
   0.134986E-03   0.614088E+03
   0.137713E-03   0.625994E+03
   0.140495E-03   0.638131E+03
   0.143333E-03   0.650502E+03
   0.146228E-03   0.663113E+03
   0.149182E-03   0.675968E+03
   0.152196E-03   0.689071E+03
   0.155271E-03   0.702428E+03
   0.158407E-03   0.716043E+03
   0.161607E-03   0.729921E+03
   0.164872E-03   0.744068E+03
   0.168203E-03   0.758487E+03
   0.171601E-03   0.773185E+03
   0.175067E-03   0.788168E+03
   0.178604E-03   0.803439E+03
   0.182212E-03   0.819005E+03
   0.185893E-03   0.834872E+03
   0.189648E-03   0.851045E+03
   0.193479E-03   0.867531E+03
   0.197388E-03   0.884334E+03
   0.201375E-03   0.901461E+03
   0.205443E-03   0.918919E+03
   0.209594E-03   0.936713E+03
   0.213828E-03   0.954850E+03
   0.218147E-03   0.973337E+03
   0.222554E-03   0.992180E+03
   0.227050E-03   0.101139E+04
   0.231637E-03   0.103096E+04
   0.236316E-03   0.105091E+04
   0.241090E-03   0.107125E+04
   0.245960E-03   0.109197E+04
   0.250929E-03   0.111310E+04
   0.255998E-03   0.113463E+04
   0.261170E-03   0.115658E+04
   0.266446E-03   0.117894E+04
   0.271828E-03   0.120174E+04
   0.277319E-03   0.122497E+04
   0.282922E-03   0.124865E+04
   0.288637E-03   0.127278E+04
   0.294468E-03   0.129738E+04
   0.300417E-03   0.132244E+04
   0.306485E-03   0.134799E+04
   0.312677E-03   0.137402E+04
   0.318993E-03   0.140056E+04
   0.325437E-03   0.142760E+04
   0.332012E-03   0.145515E+04
   0.338719E-03   0.148323E+04
   0.345561E-03   0.151185E+04
   0.352542E-03   0.154101E+04
   0.359664E-03   0.157073E+04
   0.366930E-03   0.160101E+04
   0.374342E-03   0.163188E+04
   0.381904E-03   0.166332E+04
   0.389619E-03   0.169537E+04
   0.397490E-03   0.172802E+04
   0.405520E-03   0.176129E+04
   0.413712E-03   0.179520E+04
   0.422070E-03   0.182974E+04
   0.430596E-03   0.186494E+04
   0.439295E-03   0.190080E+04
   0.448169E-03   0.193734E+04
   0.457222E-03   0.197457E+04
   0.466459E-03   0.201251E+04
   0.475882E-03   0.205115E+04
   0.485496E-03   0.209053E+04
   0.495303E-03   0.213064E+04
   0.505309E-03   0.217150E+04
   0.515517E-03   0.221313E+04
   0.525931E-03   0.225555E+04
   0.536556E-03   0.229875E+04
   0.547395E-03   0.234276E+04
   0.558453E-03   0.238759E+04
   0.569734E-03   0.243326E+04
   0.581244E-03   0.247978E+04
   0.592986E-03   0.252716E+04
   0.604965E-03   0.257542E+04
   0.617186E-03   0.262458E+04
   0.629654E-03   0.267464E+04
   0.642374E-03   0.272563E+04
   0.655350E-03   0.277756E+04
   0.668589E-03   0.283045E+04
   0.682096E-03   0.288431E+04
   0.695875E-03   0.293915E+04
   0.709933E-03   0.299500E+04
   0.724274E-03   0.305188E+04
   0.738906E-03   0.310979E+04
   0.753832E-03   0.316875E+04
   0.769061E-03   0.322879E+04
   0.784597E-03   0.328992E+04
   0.800447E-03   0.335216E+04
   0.816617E-03   0.341552E+04
   0.833114E-03   0.348002E+04
   0.849944E-03   0.354569E+04
   0.867114E-03   0.361253E+04
   0.884631E-03   0.368057E+04
   0.902501E-03   0.374983E+04
   0.920733E-03   0.382032E+04
   0.939333E-03   0.389206E+04
   0.958309E-03   0.396507E+04
   0.977668E-03   0.403938E+04
   0.997418E-03   0.411500E+04
   0.101757E-02   0.419194E+04
   0.103812E-02   0.427024E+04
   0.105910E-02   0.434991E+04
   0.108049E-02   0.443096E+04
   0.110232E-02   0.451343E+04
   0.112459E-02   0.459732E+04
   0.114730E-02   0.468266E+04
   0.117048E-02   0.476947E+04
   0.119413E-02   0.485777E+04
   0.121825E-02   0.494757E+04
   0.124286E-02   0.503890E+04
   0.126797E-02   0.513178E+04
   0.129358E-02   0.522623E+04
   0.131971E-02   0.532226E+04
   0.134637E-02   0.541989E+04
   0.137357E-02   0.551916E+04
   0.140132E-02   0.562007E+04
   0.142963E-02   0.572264E+04
   0.145851E-02   0.582691E+04
   0.148797E-02   0.593287E+04
   0.151803E-02   0.604057E+04
   0.154870E-02   0.615001E+04
   0.157998E-02   0.626121E+04
   0.161190E-02   0.637419E+04
   0.164446E-02   0.648897E+04
   0.167768E-02   0.660556E+04
   0.171158E-02   0.672399E+04
   0.174615E-02   0.684427E+04
   0.178143E-02   0.696641E+04
   0.181741E-02   0.709044E+04
   0.185413E-02   0.721636E+04
   0.189158E-02   0.734420E+04
   0.192980E-02   0.747397E+04
   0.196878E-02   0.760569E+04
   0.200855E-02   0.773937E+04
   0.204913E-02   0.787502E+04
   0.209052E-02   0.801266E+04
   0.213276E-02   0.815230E+04
   0.217584E-02   0.829395E+04
   0.221979E-02   0.843762E+04
   0.226464E-02   0.858333E+04
   0.231039E-02   0.873107E+04
   0.235706E-02   0.888086E+04
   0.240467E-02   0.903270E+04
   0.245325E-02   0.918660E+04
   0.250281E-02   0.934256E+04
   0.255337E-02   0.950059E+04
   0.260495E-02   0.966069E+04
   0.265758E-02   0.982286E+04
   0.271126E-02   0.998711E+04
   0.276603E-02   0.101534E+05
   0.282191E-02   0.103218E+05
   0.287892E-02   0.104923E+05
   0.293708E-02   0.106649E+05
   0.299641E-02   0.108395E+05
   0.305694E-02   0.110161E+05
   0.311870E-02   0.111948E+05
   0.318170E-02   0.113755E+05
   0.324597E-02   0.115583E+05
   0.331155E-02   0.117430E+05
   0.337844E-02   0.119297E+05
   0.344669E-02   0.121184E+05
   0.351632E-02   0.123091E+05
   0.358735E-02   0.125016E+05
   0.365982E-02   0.126960E+05
   0.373376E-02   0.128923E+05
   0.380918E-02   0.130905E+05
   0.388613E-02   0.132904E+05
   0.396464E-02   0.134921E+05
   0.404473E-02   0.136956E+05
   0.412644E-02   0.139008E+05
   0.420980E-02   0.141076E+05
   0.429484E-02   0.143160E+05
   0.438160E-02   0.145260E+05
   0.447012E-02   0.147375E+05
   0.456042E-02   0.149504E+05
   0.465255E-02   0.151648E+05
   0.474653E-02   0.153805E+05
   0.484242E-02   0.155975E+05
   0.494024E-02   0.158156E+05
   0.504004E-02   0.160349E+05
   0.514186E-02   0.162553E+05
   0.524573E-02   0.164767E+05
   0.535170E-02   0.166989E+05
   0.545981E-02   0.169220E+05
   0.557011E-02   0.171459E+05
   0.568263E-02   0.173703E+05
   0.579743E-02   0.175953E+05
   0.591455E-02   0.178208E+05
   0.603403E-02   0.180466E+05
   0.615592E-02   0.182726E+05
   0.628028E-02   0.184987E+05
   0.640715E-02   0.187248E+05
   0.653658E-02   0.189508E+05
   0.666863E-02   0.191766E+05
   0.680335E-02   0.194019E+05
   0.694078E-02   0.196268E+05
   0.708100E-02   0.198509E+05
   0.722404E-02   0.200743E+05
   0.736998E-02   0.202967E+05
   0.751886E-02   0.205180E+05
   0.767075E-02   0.207380E+05
   0.782571E-02   0.209566E+05
   0.798380E-02   0.211735E+05
   0.814509E-02   0.213887E+05
   0.830963E-02   0.216019E+05
   0.847750E-02   0.218129E+05
   0.864875E-02   0.220215E+05
   0.882347E-02   0.222276E+05
   0.900171E-02   0.224310E+05
   0.918356E-02   0.226314E+05
   0.936908E-02   0.228286E+05
   0.955835E-02   0.230224E+05
   0.975144E-02   0.232126E+05
   0.994843E-02   0.233989E+05
   0.101494E-01   0.235811E+05
   0.103544E-01   0.237590E+05
   0.105636E-01   0.239324E+05
   0.107770E-01   0.241009E+05
   0.109947E-01   0.242643E+05
   0.112168E-01   0.244224E+05
   0.114434E-01   0.245749E+05
   0.116746E-01   0.247215E+05
   0.119104E-01   0.248620E+05
   0.121510E-01   0.249960E+05
   0.123965E-01   0.251234E+05
   0.126469E-01   0.252438E+05
   0.129024E-01   0.253570E+05
   0.131631E-01   0.254626E+05
   0.134290E-01   0.255604E+05
   0.137003E-01   0.256502E+05
   0.139770E-01   0.257315E+05
   0.142594E-01   0.258041E+05
   0.145474E-01   0.258679E+05
   0.148413E-01   0.259223E+05
   0.151411E-01   0.259673E+05
   0.154470E-01   0.260025E+05
   0.157590E-01   0.260277E+05
   0.160774E-01   0.260426E+05
   0.164022E-01   0.260469E+05
   0.167335E-01   0.260404E+05
   0.170716E-01   0.260230E+05
   0.174164E-01   0.259942E+05
   0.177683E-01   0.259541E+05
   0.181272E-01   0.259023E+05
   0.184934E-01   0.258387E+05
   0.188670E-01   0.257631E+05
   0.192481E-01   0.256755E+05
   0.196370E-01   0.255756E+05
   0.200337E-01   0.254635E+05
   0.204384E-01   0.253390E+05
   0.208513E-01   0.252021E+05
   0.212725E-01   0.250528E+05
   0.217022E-01   0.248911E+05
   0.221406E-01   0.247171E+05
   0.225879E-01   0.245309E+05
   0.230442E-01   0.243327E+05
   0.235097E-01   0.241225E+05
   0.239847E-01   0.239006E+05
   0.244692E-01   0.236673E+05
