# P500 P0    c500 alpha gamma
1.466 3.93   1.33 1.41 0.567
2.292 3.27   1.10 1.41 0.408
2.331 20.26  2.16 1.37 0.035
1.254 8.58   1.31 1.07 0.422
2.461 9.73   1.06 1.06 0.000
0.902 8.97   1.04 0.93 0.267
0.832 19.28  1.19 0.88 0.000
0.836 3.68   1.65 1.67 0.690
2.799 8.52   1.74 1.51 0.260
2.338 4.23   0.88 0.96 0.659
1.784 4.06   1.16 1.43 0.234
3.722 11.10  0.94 0.89 0.265
1.053 1.72   1.37 2.01 0.860
2.553 4.13   1.77 2.07 0.719
1.820 7.08   1.27 1.05 0.644
1.597 4.42   1.08 1.08 0.652
1.062 47.76  0.72 0.61 0.000
1.349 3.63   1.09 1.21 0.519
4.169 23.13  1.16 0.78 0.399
2.035 4.48   1.52 1.65 0.474
1.740 2.57   1.09 1.51 0.465
2.971 4.94   0.75 0.82 0.684
0.968 4.00   1.36 1.41 0.515
2.542 4.34   1.33 1.76 0.000
1.508 9.21   0.94 1.00 0.000
1.585 9.96   0.71 0.71 0.446
1.007 1.46   1.24 2.54 0.491
2.260 27.70  1.18 0.81 0.133
2.751 27.29  1.06 0.82 0.000
3.647 25.04  2.01 1.23 0.000
1.207 338.9  0.17 0.33 0.065
