# r_r500,S_S500_50,S_S500_10,S_S500_90
0.0115478,0.128583,0.0712712,0.323589
0.0153993,0.221713,0.0965570,0.264464
0.0205353,0.190935,0.112095,0.299278
0.0273842,0.265750,0.136262,0.384822
0.0365174,0.353774,0.166080,0.458031
0.0486968,0.443718,0.209764,0.570837
0.0649382,0.503565,0.262930,0.665218
0.0865964,0.594723,0.321110,0.816040
0.115478,0.755896,0.376592,0.972948
0.153993,0.802755,0.427954,1.34024
0.205353,0.949026,0.639483,1.77218
0.273842,1.06433,0.757650,1.54570
0.365174,1.14020,0.793793,1.34493
0.486968,1.38544,0.832122,1.66733
0.649382,1.78255,1.46628,2.65751
