# r_r500,S_S500_50,S_S500_10,S_S500_90
0.022539018,0.212301,0.116214,0.421526
0.027408388,0.253848,0.145390,0.497645
0.033329746,0.290147,0.172486,0.471367
0.040530364,0.343481,0.206411,0.597472
0.049286616,0.393545,0.238906,0.639830
0.059934585,0.453085,0.285072,0.707621
0.072882960,0.515473,0.336121,0.769773
0.088628725,0.602897,0.404593,0.885338
0.10777623,0.683721,0.470650,1.01723
0.13106040,0.786277,0.539104,1.10021
0.15937493,0.863659,0.622226,1.16953
0.19380657,0.953751,0.723770,1.24048
0.23567689,1.08864,0.837955,1.36754
0.28659295,1.22086,0.949672,1.46873
0.34850900,1.35381,1.10165,1.62745
0.42380151,1.49221,1.28380,1.85146
0.51536035,1.71249,1.41999,2.05451
0.62669972,1.92280,1.54218,2.25487
0.76209305,2.12541,1.71188,2.44250
0.92673699,2.25485,1.94092,2.40506
