# Table 4
# Derived Properties of Groups (II: Entropy)
# https://iopscience.iop.org/article/10.1088/0004-637X/693/2/1142#apj299958t4


# Group	K_500^a	K_1000^a	K_1500^a	K_2500	K_0.15r500	K_30kpc
NGC 1550	(297^+46_-42)	253 +or- 23	228 +or- 15	198^+9_-8	94 +or- 3	49 +or- 1
NGC 3402			(278^+218_-88)	226^+100_-52	66 +or- 4	34 +or- 2
A262		(385^+87_-67)	383^+73_-46	354^+43_-29	161^+9_-7	69 +or- 2
NGC 383			(495^+83_-46)	448^+71_-39	327^+23_-24	214^+28_-25
3C 449			(217^+28_-37)	199^+22_-27	158^+11_-12	96 +or- 6
NGC 533		(336^+52_-76)	317^+45_-66	289^+44_-50	171^+13_-11	103 +or- 6
NGC 741		(460^+64_-114)	428^+57_-86	388^+53_-66	243^+36_-29	146^+15_-17
MKW4	574^+54_-96	454^+44_-59	388^+42_-39	332^+31_-24	161 +or- 6	80^+3_-4
A3581		(384^+84_-78)	344^+72_-59	298^+49_-41	124 +or- 7	38 +or- 1
NGC 5129		(262^+32_-30)	229^+23_-22	193^+18_-17	100 +or- 6	75^+6_-4
NGC 1132			336^+49_-45	238 +or- 26	97^+7_-6	68^+9_-7
UGC 2755			(260^+65_-72)	211^+50_-45	120^+15_-14	113^+24_-18
NGC 4325			(195^+86_-70)	179^+46_-36	84^+7_-6	39 +or- 2
HCG 51		(371^+196_-166)	348^+120_-101	303^+49_-47	126 +or- 5	82 +or- 4
3C 442A	(455^+49_-77)	438^+34_-49	431^+29_-40	419^+33_-37	210^+27_-26	72 +or- 8
UGC 5088	(414^+91_-191)	326^+48_-49	288^+32_-33	230 +or- 23	84^+8_-7	51^+6_-4
NGC 6338		(401^+46_-45)	371^+36_-35	334^+28_-23	239^+14_-11	108 +or- 5
NGC 4104	(571^+74_-85)	471^+42_-50	421^+32_-36	360^+26_-29	221^+16_-15	148^+12_-11
RBS 461			(446^+59_-56)	370^+43_-41	165 +or- 8	93 +or- 5
ESO 552-020		(580^+107_-124)	550^+79_-87	460^+58_-61	190 +or- 9	97^+6_-5
A1177	(648^+130_-111)	480^+74_-70	397^+48_-47	317^+28_-45	179^+11_-12	138^+13_-11
IC 1262			(489^+63_-99)	411^+70_-63	134 +or- 4	47 +or- 2
NGC 6269	(390^+189_-183)	440^+56_-68	434^+54_-50	406^+38_-40	272^+18_-21	127^+7_-8
ESO 306-017	(914^+203_-192)	700^+108_-81	596^+74_-59	475^+44_-38	191 +or- 12	86 +or- 6
NGC 5098	217 +or- 43	210^+28_-26	205 +or- 21	194^+16_-17	84^+7_-8	45 +or- 2
A1139			(486^+429_-206)	431^+112_-100	368^+69_-48	261^+69_-43
A160	477^+86_-90	429^+34_-36	407^+29_-28	379^+33_-25	268^+17_-16	172^+31_-26
UGC 842	(652^+231_-149)	522^+90_-77	459^+60_-58	406^+48_-39	238^+22_-20	122^+11_-9
A2717	1022^+163_-181	817^+106_-102	673^+71_-77	502^+40_-41	186 +or- 11	75 +or- 5
RXJ 1022+3830	655^+89_-94	587^+69_-64	548^+62_-51	488^+72_-46	223^+33_-30	77^+6_-7
AS1101	(476^+457_-218)	465^+142_-91	441^+73_-53	386^+39_-36	120^+15_-13	29 +or- 1
ESO 351-021	309^+105_-84	315^+85_-40	310^+58_-34	289^+35_-38	175^+19_-20	57 +or- 4
A3880	624^+198_-236	681^+103_-98	560^+88_-52	420^+44_-35	176 +or- 20	50 +or- 3
A1991	752^+252_-275	653^+95_-142	568^+68_-94	463^+43_-63	166^+11_-23	39 +or- 1
A1275	(464^+278_-98)	324^+66_-44	284^+23_-30	231^+18_-17	130^+16_-14	59 +or- 3
A2092	(423^+192_-140)	449^+90_-66	439^+85_-69	401^+69_-57	202^+24_-21	200^+57_-34
RXJ 1206-0744		432^+97_-104	402^+88_-80	354^+68_-67	201^+34_-41	102^+32_-35
A1238		805^+347_-165	676^+167_-113	584^+114_-91	464^+129_-76	341^+200_-78
A744		(695^+249_-220)	580^+134_-115	470^+72_-63	215^+16_-15	115^+12_-11
A2462	627^+102_-118	537^+79_-77	488^+62_-60	422^+48_-40	247^+12_-13	172^+20_-21
RXJ 1159	(800^+200_-121)	580^+78_-56	491^+49_-40	410^+35_-28	230^+16_-17	92 +or- 6
A1692	622^+202_-176	644^+186_-167	636^+174_-156	576^+126_-120	252 +or- 29	149^+30_-24
A2550	704^+132_-128	530^+65_-67	431^+46_-45	331^+27_-26	114^+11_-8	46 +or- 3

# Note.
# a The values in parentheses are from extrapolation (see Section 4).
