# Table 1. Basic cluster data. K(Rδ) is the entropy measured at the radius corresponding to density contrast δ.
# Cool core and morphological classification from Pratt et al. (2009).

# (a) Temperature in keV, measured in the [0.15 - 0.75] R500 aperture
# (b) Mass in units of h^-1_70 1.e14 MSun, estimated from the M500 - YX relation given in Eqn. 1 (Arnaud et al. 2009).
# systems classified as cool cores on the basis of central density vs. cooling time (see Sect. 2.3);
# systems classified as disturbed on the basis of the centre shift parameter <w>.

# T1: spectroscopic temperature of the R < R500 region in keV; (4) L1: luminosity in the R < R500 region
# in units of 10^44 erg s-1; (5) T2: spectroscopic temperature in the [0.15–1] R500 region in keV; (6) L2: luminosity in the [0.15–1] R500 region in units
# of 1044 erg s-1; (7) T3: spectroscopic temperature in the [0.15–0.75] R500 region in keV; (8) YX in units of 10^13 Msun keV; (9) R500 in kpc; (10) ratio
# of the detection radius of the surface brightness profile at 3σ significance, Rdet, to R500

# Cluster        z      kT {a}           M500 {b}         K (0.1 R200) K (R2500)      K (R1000)      K (R500)       T1               L1                 T2               L2                 T3               Y_X                R500    Rdet
RXC-J0003.8+0203 0.0924 3.83 +0.11 -0.11 2.11 +0.04 -0.04 273.35 17.67 619.88  50.40  913.29  114.31 none    none   3.85 +0.09 -0.09 1.88   +0.01 -0.01 3.64 +0.09 -0.09 1.16   +0.01 -0.01 3.87 +0.10 -0.10 7.69   +0.26 -0.26 876.7   0.84
RXC-J0006.0-3443 0.1147 5.24 +0.21 -0.21 3.95 +0.12 -0.12 469.36 55.82 786.71  80.54  1040.90 98.14  none    none   5.03 +0.19 -0.19 4.13   +0.05 -0.05 4.60 +0.21 -0.16 3.18   +0.05 -0.05 5.18 +0.20 -0.20 22.74  +1.22 -1.21 1059.3  0.93
RXC-J0020.7-2542 0.1410 5.54 +0.13 -0.13 3.84 +0.06 -0.06 347.10 28.49 727.97  58.46  1085.23 143.63 1498.66 687.71 5.69 +0.11 -0.11 6.52   +0.04 -0.04 5.24 +0.15 -0.15 4.07   +0.04 -0.04 5.55 +0.13 -0.13 22.41  +0.65 -0.63 1045.3  1.07
RXC-J0049.4-2931 0.1084 2.87 +0.10 -0.10 1.62 +0.04 -0.04 191.06 14.02 442.17  74.37  647.11  82.13  none    none   3.09 +0.10 -0.10 1.78   +0.02 -0.02 2.79 +0.11 -0.11 1.00   +0.02 -0.02 3.03 +0.12 -0.12 5.09   +0.25 -0.24 807.8   0.93
RXC-J0145.0-5300 0.1168 5.81 +0.15 -0.15 4.37 +0.08 -0.08 365.72 26.31 840.65  58.67  1400.17 166.17 none    none   5.53 +0.13 -0.13 5.00   +0.03 -0.03 5.51 +0.16 -0.16 3.88   +0.03 -0.03 5.63 +0.14 -0.14 26.61  +0.89 -0.87 1089.3  1.23
RXC-J0211.4-4017 0.1008 2.08 +0.05 -0.05 1.00 +0.02 -0.02 141.17 08.83 309.39  22.19  522.67  47.23  687.20  134.45 2.07 +0.07 -0.00 0.81   +0.01 -0.01 2.02 +0.06 -0.06 0.48   +0.01 -0.01 2.07 +0.05 -0.05 2.03   +0.06 -0.06 685.0   1.33
RXC-J0225.1-2928 0.0604 2.53 +0.14 -0.14 0.96 +0.04 -0.04 173.95 13.33 546.12  114.66 747.10  81.97  none    none   2.47 +0.15 -0.06 0.51   +0.01 -0.01 2.61 +0.16 -0.16 0.31   +0.01 -0.01 2.67 +0.13 -0.13 2.00   +0.12 -0.12 693.9   0.91
RXC-J0345.7-4112 0.0603 2.28 +0.07 -0.06 0.97 +0.02 -0.02 175.30 13.91 384.26  38.58  481.23  40.90  none    none   2.19 +0.04 -0.04 0.77   +0.01 -0.01 2.15 +0.08 -0.08 0.37   +0.01 -0.01 2.30 +0.09 -0.06 1.91   +0.09 -0.06 688.4   0.89
RXC-J0547.6-3152 0.1483 6.04 +0.14 -0.14 4.98 +0.09 -0.08 324.96 16.61 842.16  61.88  1128.97 96.51  none    none   6.02 +0.11 -0.11 8.97   +0.04 -0.04 5.68 +0.11 -0.11 5.76   +0.04 -0.04 6.06 +0.14 -0.14 35.54  +1.02 -0.99 1133.7  1.32
RXC-J0605.8-3518 0.1392 4.93 +0.12 -0.12 3.87 +0.06 -0.06 238.61 13.12 631.88  32.69  1167.71 157.17 1745.33 462.31 4.56 +0.05 -0.05 9.54   +0.04 -0.04 4.81 +0.12 -0.12 4.26   +0.04 -0.04 4.91 +0.11 -0.11 22.39  +0.66 -0.63 1045.9  1.17
