# Entropy profile parameterisation with a model of the form
# K(R) = K0 + K100 (R/100 h^−1_70 kpc)^α
# Entropy is measured in units of keV cm−2
# Cluster_name K0 Delta(K0) K100 Delta(K100) α Delta(α)
RXC-J0003.8+0203 39.33 2.20 196.25 3.93 0.77 0.02
RXC-J0006.6-3443 97.68 26.02 280.10 30.12 0.58 0.05
RXC-J0020.7-2542 177.45 10.39 87.07 9.76 1.15 0.07
RXC-J0049.4-2931 35.95 2.32 141.70 3.46 0.76 0.02
RXC-J0145.0-5300 240.05 5.49 63.39 5.40 1.40 0.05
RXC-J0211.4-4017 19.38 1.58 118.87 2.57 0.83 0.02
RXC-J0225.1-2928 94.57 1.93 79.07 3.74 1.54 0.06
RXC-J0345.7-4112 1.03 0.44 153.59 1.68 0.84 0.01
RXC-J0547.6-3152 141.30 3.21 111.99 4.49 1.08 0.03
RXC-J0605.8-3518 4.78 0.67 139.62 1.65 0.99 0.01
RXC-J0616.8-4748 22.46 6.00 268.72 9.09 0.58 0.02
RXC-J0645.4-5413 49.35 2.65 145.40 4.45 1.03 0.02
RXC-J0958.3-1103 24.78 1.89 117.86 3.58 1.15 0.04
RXC-J1141.4-1216 2.06 0.17 148.75 0.76 0.99 0.01
RXC-J1236.7-3354 52.14 1.32 112.12 2.18 1.04 0.02
RXC-J1302.8-0230 3.60 0.42 209.91 1.92 0.96 0.01
RXC-J1311.4-0120 49.20 1.45 134.89 2.10 1.10 0.01
RXC-J1516+0005   88.33 3.68 165.48 5.36 0.81 0.02
RXC-J1516.5-0056 43.01 5.19 229.09 7.74 0.66 0.02
RXC-J2014.8-2430 1.75 0.26 121.61 1.00 1.14 0.01
RXC-J2023.0-2056 52.27 3.02 194.29 4.41 0.69 0.02
RXC-J2048.1-1750 370.96 6.31 14.53 2.44 1.87 0.09
RXC-J2129.8-5048 150.49 56.32 232.96 56.20 0.54 0.09
RXC-J2149.1-3041 4.26 0.69 136.22 1.53 0.99 0.01
RXC-J2157.4-0747 92.24 15.42 294.40 19.04 0.52 0.04
RXC-J2217.7-3543 63.35 3.25 155.35 4.88 0.82 0.02
RXC-J2218.6-3853 98.10 1.92 80.84 2.91 1.36 0.03
RXC-J2234.5-3744 308.07 6.98 62.01 5.92 1.19 0.05
RXC-J2319.6-7313 6.18 0.26 105.24 0.93 0.98 0.01
