# Table 1. Basic cluster data. K(Rδ) is the entropy measured at the radius corresponding to density contrast δ.
# Cool core and morphological classification from Pratt et al. (2009).

# (a) Temperature in keV, measured in the [0.15 − 0.75] R500 aperture
# (b) Mass in units of h^−1_70 1.e14 MSun, estimated from the M500 − YX relation given in Eqn. 1 (Arnaud et al. 2009).
# systems classified as cool cores on the basis of central density vs. cooling time (see Sect. 2.3);
# systems classified as disturbed on the basis of the centre shift parameter <w>.

# Cluster z kT {a} M500 {b} K (0.1 R200) K (R2500) K (R1000) K (R500) CC Disturbed
RXC-J0003.8+0203 0.0924 3.83+0.11−0.11 2.11+0.04−0.04 273.35 17.67 619.88  50.40  913.29  114.31 none    none   none
RXC-J0006.0-3443 0.1147 5.24+0.21−0.21 3.95+0.12−0.12 469.36 55.82 786.71  80.54  1040.90 98.14  none    none   D
RXC-J0020.7-2542 0.1410 5.54+0.13−0.13 3.84+0.06−0.06 347.10 28.49 727.97  58.46  1085.23 143.63 1498.66 687.71 none
RXC-J0049.4-2931 0.1084 2.87+0.10−0.10 1.62+0.04−0.04 191.06 14.02 442.17  74.37  647.11  82.13  none    none   none
RXC-J0145.0-5300 0.1168 5.81+0.15−0.15 4.37+0.08−0.08 365.72 26.31 840.65  58.67  1400.17 166.17 none    none   D
RXC-J0211.4-4017 0.1008 2.08+0.05−0.05 1.00+0.02−0.02 141.17 08.83 309.39  22.19  522.67  47.23  687.20  134.45 none
RXC-J0225.1-2928 0.0604 2.53+0.14−0.14 0.96+0.04−0.04 173.95 13.33 546.12  114.66 747.10  81.97  none    none   D
RXC-J0345.7-4112 0.0603 2.28+0.07−0.06 0.97+0.02−0.02 175.30 13.91 384.26  38.58  481.23  40.90  none    none   D
RXC-J0547.6-3152 0.1483 6.04+0.14−0.14 4.98+0.09−0.08 324.96 16.61 842.16  61.88  1128.97 96.51  none    none   none
RXC-J0605.8-3518 0.1392 4.93+0.12−0.12 3.87+0.06−0.06 238.61 13.12 631.88  32.69  1167.71 157.17 1745.33 462.31 CC
RXC-J0616.8-4748 0.1164 4.18+0.11−0.11 2.70+0.06−0.05 348.61 39.07 639.08  40.11  939.62  77.66  1357.27 224.37 D
RXC-J0645.4-5413 0.1644 7.23+0.18−0.18 7.38+0.14−0.14 349.48 27.52 941.30  79.96  1462.99 158.42 none    none   none
RXC-J0821.8+0112 0.0822 2.81+0.10−0.11 1.31+0.03−0.04 285.87 19.08 436.36  45.57  617.55  56.35  none    none   none
RXC-J0958.3-1103 0.1669 5.95+0.49−0.33 4.17+0.22−0.15 220.23 33.22 875.57  297.68 1421.19 618.50 none    none   CC
RXC-J1044.5-0704 0.1342 3.58+0.05−0.05 2.27+0.02−0.02 164.67 06.09 447.65  21.65  722.02  84.78  1021.75 127.41 CC
RXC-J1141.4-1216 0.1195 3.58+0.06−0.06 2.27+0.02−0.02 197.66 07.26 557.71  25.24  849.48  74.07  1016.40 91.66  CC
RXC-J1236.7-3354 0.0796 2.77+0.06−0.05 1.33+0.02−0.02 179.13 06.56 469.68  25.36  849.80  133.02 none    none   none
RXC-J1302.8-0230 0.0847 3.48+0.08−0.08 1.89+0.03−0.03 310.02 16.16 741.95  43.99  779.02  89.95  684.30  52.30  none
RXC-J1311.4-0120 0.1832 8.67+0.12−0.12 8.41+0.08−0.08 337.47 10.26 1044.38 56.40  1653.59 116.17 none    none   CC
RXC-J1516.3+0005 0.1181 4.68+0.13−0.08 3.28+0.07−0.04 321.83 16.45 673.65  35.14  1004.69 96.87  none    none   none
RXC-J1516.5-0056 0.1198 3.70+0.10−0.08 2.59+0.05−0.04 314.75 22.64 712.59  51.51  728.24  54.37  732.28  50.80  D
RXC-J2014.8-2430 0.1538 5.75+0.10−0.10 5.38+0.07−0.07 263.67 12.80 726.64  39.70  1158.45 96.11  none    none   CC
RXC-J2023.0-2056 0.0564 2.72+0.09−0.09 1.21+0.03−0.03 248.64 15.10 527.38  58.61  657.84  42.38  none    none   D
RXC-J2048.1-1750 0.1475 5.06+0.11−0.11 4.32+0.07−0.07 409.74 35.68 743.70  46.76  1006.16 53.29  1086.97 79.89  CC
RXC-J2129.8-5048 0.0796 3.84+0.14−0.14 2.26+0.06−0.06 441.52 31.94 644.40  53.66  861.48  67.50  none    none   D
RXC-J2149.1-3041 0.1184 3.48+0.07−0.07 2.25+0.03−0.03 196.26 09.85 513.99  32.71  762.82  80.24  1062.45 185.45 CC
RXC-J2157.4-0747 0.0579 2.79+0.07−0.07 1.29+0.03−0.03 390.50 40.35 659.44  65.91  675.83  23.62  none    none   D
RXC-J2217.7-3543 0.1486 4.62+0.09−0.08 3.61+0.05−0.05 282.04 13.59 610.69  34.87  872.97  62.41  1076.81 107.72 none
RXC-J2218.6-3853 0.1411 6.18+0.20−0.20 4.92+0.11−0.11 263.03 12.24 859.14  64.35  1610.20 225.47 2278.44 862.21 D
RXC-J2234.5-3744 0.1510 7.32+0.12−0.12 7.36+0.09−0.09 451.39 28.73 813.38  42.42  1170.94 97.12  none    none   none
RXC-J2319.6-7313 0.0984 2.56+0.08−0.08 1.56+0.03−0.03 133.95 07.23 380.37  32.90  637.12  66.10  1017.21 211.39 none
